COUNTRY,PORTC,PORTN,REANCHO,LATITUDE,LONGITUDE,COUNTRYN,LOCID,IND
IS,ISPAT,PATREKSFJORDUR,,65.59702,-24.00331,ICELAND,,,
IR,ISREY,REYKJAVIK,REYKJAVIK ANCH,64.1497,-21.87011,ICELAND,,,
