NAVOYCUR,NAVOYGCURDES
EUR,EUROPEAN EURO
INR,INDIAN RUPEE
SGD,SINGAPORE DOLLAR
USD,UNITED STATES DOLLAR
TS,TEST
IND,INDIAN
